"Transect_ID","Width_per_Side_m","Belt_Perimeter_m","Belt_Area_m2","Length_m","Depth_Mean","Slope_Mean","Rugosity_Mean","Seabird_N15_Mean","Depth_SD","Slope_SD","Rugosity_SD","Seabird_N15_SD","Depth_Min","Slope_Min","Rugosity_Min","Seabird_N15_Min","Depth_Max","Slope_Max","Rugosity_Max","Seabird_N15_Max","Dominant_Habitat","Live_Coral_m2","Grazing_Surface_Area","REI","Fishing_Proximity","Native_Vegetation","Long_UTM6S","Lat_UTM6S"
"Aie_North_Site_2_1",2.5,71.1790145542,152.946401846,30.5895072771,-0.720382784786157,6.15221136724773,1.0239555653189,5.7758920802104,0.123811615587717,5.95534265304508,0.0296520718738474,0.375767489173827,-0.939999997615814,6.33602243886372e-15,1.00059568881989,4.50652837753296,-0.229999989271164,31.9929161071777,1.17535626888275,6.83649301528931,"Live Coral",70.1918721856782,89.9661880864733,48921.7224563291,1591.74539689212,91.72,229998.5212,8117881.5362
"Aie_North_Site_2_2",2.5,52.2469942156,105.619073422,21.1234971078,-0.652083318224367,11.1143906415952,1.06383836624168,4.68965811551023,0.190965283738257,8.85915750070871,0.0637388892226176,0.515973218552413,-1.01999998092651,1.89727484212199e-06,1.00167059898376,3.28749942779541,-0.219999998807907,45.5842628479004,1.3234531879425,6.20929622650146,"Live Coral",95.9121607076377,105.619073422102,53395.3945321596,1606.30768845174,91.72,230025.40575,8117903.47765
"Aie_North_Site_2_3",2.5,62.9879109963,132.470284541,26.4939554981,-0.8215703421977,8.85437310666482,1.05379914775501,3.39820202105228,0.202576382008689,11.5645962111529,0.0782712113463224,0.47992395670086,-1.0900000333786,5.8244690664681e-16,1.00056779384613,1.70855927467346,-0.189999997615814,48.2114601135254,1.47562062740326,5.63710117340088,"Algae",55.1186121632982,125.390614291658,53412.7170841626,1629.93223204798,91.72,230013.9186,8117926.63835
"Aie_North_Site_2_4",2.5,53.5325849631,108.832401976,21.7662924816,-0.768228458684703,10.5808623322505,1.05907524707696,2.58101550099865,0.173766232724111,9.67240842690098,0.0676096367523042,0.431253834229417,-1.03999996185303,1.0823265874304e-14,1.00095856189728,1.01341342926025,-0.229999989271164,48.9015617370605,1.530268907547,4.26185750961304,"Live Coral",108.087972530047,108.832401976324,53411.9119137595,1645.1541583901,91.72,230017.44625,8117942.1868
"Aie_South_Site_1_1",2.5,63.5822977291,133.95553693,26.7911488645,-0.82811826147059,8.18944164413633,1.05126082464572,4.46155991156896,0.16298148857035,9.99504647832733,0.0835911921532542,0.485108341423696,-1.03999996185303,1.89727484212199e-06,1.00114619731903,3.10138058662415,-0.219999998807907,47.9306297302246,1.4960412979126,6.64593076705933,"Live Coral",99.6154526058581,127.908013525453,53010.641509539,1285.8905279807,91.72,230129.49095,8117599.69795
"Aie_South_Site_1_2",2.5,61.1362557916,127.839099393,25.5681278958,-0.641960630356972,11.8670938785559,1.08842556047674,5.68408090248966,0.199266635366149,10.8233275290241,0.0833144034878053,0.629068546185275,-1.01999998092651,1.34157585307548e-06,1.00092327594757,3.08884978294373,-0.209999993443489,44.5969505310059,1.44407105445862,7.40470600128174,"Live Coral",120.44341676659,125.509159056055,52110.1254763895,1310.80814492953,91.72,230123.3353,8117622.5402
"Aie_South_Site_1_3",2.5,70.719858774,151.802128918,30.359929387,-0.992290787067187,9.3765859925309,1.0572784214416,3.17573430831779,0.226981323233784,12.1927981293924,0.0900316649644525,0.471309314257353,-1.27999997138977,1.32937577436497e-14,1.0007758140564,0.842871844768524,-0.229999989271164,55.2597351074219,1.54893577098846,5.76605701446533,"Bare",41.140441940981,83.8532280162908,53099.6087052819,1257.62295279506,91.72,230113.34455,8117571.30705
"Aie_South_Site_1_4",2.5,55.4794526844,113.698854232,22.7397263422,-0.761140120921395,10.9106475972789,1.06351109138105,2.24183275004936,0.258702957377672,11.9116279238082,0.0929619664539234,0.713437447841074,-1.1599999666214,6.6861447781607e-15,1.00085437297821,0.738133728504181,-0.179999992251396,54.6403961181641,1.53863298892975,4.45879077911377,"Live Coral",59.6555837267952,59.6555837267952,53691.2317740504,1227.562826489,91.72,230123.35765,8117538.5487
"Hiraanae_Auroa_Hoa_1",2.5,69.1998848977,148.001106444,29.5999424489,-1.10004252908259,19.8184795099914,1.15525077440094,9.77646459764985,0.436571944091075,15.1230327187153,0.154714058193392,0.652106332081837,-2.15999984741211,0.318302512168884,0.99483060836792,6.69494533538818,-0.159999996423721,67.0855102539062,2.02149367332458,11.9853391647339,"Live Coral",131.041005439911,144.644238097208,6001.75684515046,1067.52144798127,22.56,227261.1341,8119977.5666
"Hiraanae_Auroa_Hoa_2",2.5,62.2979535623,130.745526233,26.1489767811,-1.58761704115828,22.665726254589,1.15277934698362,11.9825313754647,0.662449000265069,17.9817126986721,0.151648013032971,1.18151256432241,-2.6399998664856,0.71173882484436,0.995009183883667,8.10466861724854,-0.28999999165535,71.2874221801758,1.89182543754578,16.8839073181152,"Live Coral",74.2006127159111,118.049689398322,9438.55747927656,1067.90030022052,22.56,227238.65455,8119985.4119
